课程名称	均分	最高分	课程代码
宇宙与人类	/2015-2016-2	88.27	95.00
政治的边界与逻辑	/2014-2015-2	88.27	99.00
兽医微生物学	/2014-2015-1	88.27	96.00
美学	/2015-2016-1	88.26	98.00
公共部门人力资源管理	/2015-2016-1	88.26	96.00
梵语（1）	/2015-2016-1	88.25	99.00
环境化学（B类）	/2014-2015-1	88.25	96.00
脑与日常行为	/2014-2015-2	88.25	96.00
电工与电子技术（C类）	/2015-2016-1	88.23	100.00
世界华文文学专题	/2015-2016-1	88.23	95.00
设计基础（A类）（1）	/2015-2016-1	88.23	95.00
历代名诗人研究	/2014-2015-1	88.22	94.00
信息系统工程	/2014-2015-1	88.20	97.00
美国的文化与历史	/2014-2015-2	88.19	95.00
美国的文化与历史	/2015-2016-1	88.19	95.00
《圣经》与西方文化	/2014-2015-2	88.19	100.00
公共行政学	/2014-2015-1	88.18	98.00
数据结构B	/2014-2015-1	88.12	100.00
基本电路实验	/2014-2015-1	88.12	99.00
风险与社会保障	/2015-2016-1	88.11	94.00
脑与日常行为	/2015-2016-2	88.10	97.00
组织文化研究	/2014-2015-1	88.09	95.00
发展经济学（A类）	/2015-2016-1	88.06	97.00
发展经济学（A类）	/2014-2015-1	88.02	98.00
20世纪中国文学名著欣赏	/2015-2016-1	88.00	93.00
环境经济学	/2014-2015-2	88.00	97.00
全球变化下的自然和生态	/2015-2016-1	88.00	95.00
生物技术与人类	/2014-2015-2	87.99	97.00
色彩（Ⅰ）	/2014-2015-2	87.96	97.00
信息素养与实践	/2015-2016-2	87.96	94.00
法语二外（1）	/2014-2015-2	87.92	98.00
危机与公共关系	/2014-2015-2	87.92	97.00
大学物理（荣誉）（2）	/2015-2016-1	87.90	100.00
材料综合实验（1）	/2014-2015-1	87.89	94.00
细胞世界	/2015-2016-2	87.89	98.00
动物繁殖学	/2014-2015-1	87.89	93.00
工程实践与科技创新Ⅳ-F	/2015-2016-1	87.88	95.00
生物技术与人类	/2015-2016-1	87.88	98.00
世界华文文学专题	/2014-2015-2	87.87	94.00
数字部件设计	/2015-2016-2	87.86	97.00
新闻学导论（A类）	/2015-2016-1	87.86	97.00
日语二外（1）	/2015-2016-1	87.85	95.00
固体物理	/2014-2015-1	87.84	98.00
C++程序设计与实践	/2014-2015-1	87.83	99.00
生物信息学（C类）	/2014-2015-1	87.83	92.00
中国现代诗歌导读	/2015-2016-1	87.83	94.00
高分子化学与物理	/2015-2016-1	87.83	94.00
生命科学发展史	/2014-2015-1	87.83	98.00
辐射及应用	/2015-2016-2	87.81	96.00
自动控制原理（B类）	/2014-2015-1	87.81	96.00
园林制图（A类）	/2015-2016-1	87.81	95.00
鲁迅与中外文化	/2014-2015-1	87.80	91.00
高等代数与解析几何（A类）（1）	/2014-2015-1	87.79	99.00
艺术、媒介与创造性思维	/2014-2015-1	87.79	92.00
消费者行为	/2015-2016-1	87.76	93.00
自动化仪表	/2015-2016-1	87.75	98.00
工程材料与焊接基础	/2014-2015-1	87.75	96.00
20世纪中国文学名著欣赏	/2014-2015-1	87.75	94.00
园林植物综合实验	/2015-2016-1	87.75	92.00
